location-long,location-lat
9.0072949,47.7294357
9.0066641,47.7286278
9.0072859,47.7285377
9.0058106,47.7286649
9.0082572,47.7281318
9.0087946,47.7275323
9.0088171,47.727551
9.0088085,47.7276485
9.0090854,47.727876
9.0083572,47.7279891
9.0083699,47.7279443
9.0016083,47.7344255
8.9971944,47.7416331
8.997209,47.7416753
8.9971585,47.7416124
8.9972095,47.741613
8.9972277,47.7416072
8.9966394,47.7415019
8.9962635,47.741304
8.9974336,47.7411524
8.9981198,47.7409102
8.9981074,47.7390923
8.999055,47.738599
8.9975994,47.7411631
8.9984125,47.7409678
8.9984587,47.7404325
8.9984806,47.7404403
8.9981262,47.7406767
8.9964687,47.7415608
8.9976637,47.7411346
8.9975515,47.740712
8.9975336,47.7412028
8.9975777,47.7411243
8.9974098,47.7412174
8.99743,47.7412604
8.9974972,47.74092
8.9974543,47.740624
8.9973261,47.7404642
8.9970616,47.7402594
8.9981808,47.7407647
8.9981986,47.7407202
8.9992529,47.7385932
8.996873,47.7411755
8.9979698,47.7410702
8.9979839,47.7410308
9.0011648,47.7377253
8.999721,47.7389218
8.9981906,47.7407133
8.9978989,47.7404691
9.0002824,47.7376994
8.9981941,47.7395196
8.9885489,47.7124421
9.0007521,47.7367857
8.9994986,47.7360414
8.9983937,47.7371229
9.0007212,47.7377867
9.0013994,47.7375085
9.0010018,47.7376546
9.0013823,47.7374402
9.0011513,47.737758
9.0010018,47.737528
9.0003765,47.73732
9.0017478,47.7372011
9.0015549,47.7374546
9.0013113,47.7373312
9.0011482,47.7372791
9.0013667,47.7374255
9.0013228,47.7374731
9.0014618,47.7373554
9.0014787,47.7375767
9.0006949,47.7365766
9.0016732,47.736315
9.0003491,47.7373574
9.0011056,47.7376975
9.000477,47.7370637
9.0012837,47.737583
9.0012283,47.7375831
9.0012734,47.7375987
9.0012917,47.7375899
9.0012306,47.7375197
9.0013541,47.7375353
8.9976433,47.739264
9.0008265,47.7376861
9.0003296,47.7377494
8.9962475,47.739708
8.9976259,47.7390274
8.9986256,47.7367042
8.9980015,47.7364928
8.9991505,47.7361926
8.9988124,47.7366437
8.9926483,47.7425873
8.9920625,47.742856
8.9906026,47.7424365
8.9902425,47.7430433
8.9902724,47.7430479
8.9902966,47.7430902
8.9902983,47.7430934
8.9903182,47.7431156
8.9902553,47.7430944
8.9903082,47.7431123
8.9903033,47.7431176
9.0046237,47.7002889
9.0039266,47.6999917
9.0035536,47.6999647
9.0037453,47.7003288
9.003856,47.7002204
9.003912,47.7002193
9.0035543,47.6999208
9.0034824,47.6999587
9.0037323,47.699966
9.0038503,47.6999783
9.0039772,47.6998271
9.0039072,47.6999672
9.0041536,47.6997345
9.0041938,47.6997229
9.0041222,47.6998184
9.0042493,47.6997969
9.003958,47.6996951
9.0039653,47.6997657
9.0036765,47.6999007
9.003615,47.6998923
9.0035831,47.6999184
9.0035899,47.6998749
9.0035924,47.6999097
9.0035872,47.6998577
9.0035635,47.6998236
9.0035674,47.6998976
9.0035151,47.6999549
9.0036344,47.6998735
9.0035538,47.7000156
9.0036185,47.6998519
9.003637,47.6998444
9.0036714,47.699898
9.003702,47.6998837
9.0036694,47.6998576
9.0037119,47.6998193
9.0036637,47.6998546
9.0036467,47.6998336
9.0036282,47.6998614
9.0040958,47.6998287
9.0040383,47.6998564
9.0038459,47.6997533
9.0039062,47.6997629
9.0041026,47.6998044
9.0041545,47.6995503
9.0041446,47.6995434
9.0041935,47.6995126
9.0044181,47.6992221
9.0415413,47.6931487
9.0056527,47.7007311
9.012523,47.701341
8.9885128,47.7294468
9.0012952,47.7376167
9.0012099,47.7374742
9.0010799,47.7372862
9.0011556,47.7375994
9.0011114,47.7375835
9.0011101,47.7376518
9.0010873,47.7376799
9.0011271,47.7376625
9.0010977,47.7376296
9.0010493,47.7377398
9.0009856,47.7376055
9.0012874,47.7374428
9.0013536,47.7372898
9.0013129,47.7375331
9.001282,47.7375692
9.0000995,47.7371579
9.0013246,47.7374962
9.0013966,47.7375023
9.0012678,47.7374844
9.0006324,47.7371457
8.9954163,47.7386164
8.998058,47.7389725
9.0011494,47.7375041
9.0012216,47.7376433
9.0012224,47.7377489
8.9991777,47.7369757
9.0011045,47.7371732
9.0012819,47.7376663
9.0011973,47.7376691
9.0011792,47.7376707
8.9946937,47.7393631
8.9961275,47.7394422
8.9973253,47.7386482
8.9978207,47.7361656
8.9945128,47.7415449
8.9969582,47.7416087
8.9968065,47.7415324
8.9967786,47.741533
8.9970345,47.7413547
8.9970951,47.7414677
8.9971717,47.7414138
8.997177,47.7414354
8.9973093,47.7411062
8.9976459,47.7411523
8.9975635,47.7411915
8.9973566,47.7411735
8.9972279,47.7413804
8.9972749,47.7412165
8.9972965,47.7416108
8.9972697,47.7414457
8.9974929,47.7413265
8.9974867,47.741295
8.9973936,47.7412963
8.9974793,47.7412988
8.997787,47.7408954
8.9979732,47.7407372
8.998037,47.7408347
8.9980911,47.7408782
8.9977845,47.7409966
8.9982799,47.7405467
8.997538,47.7410878
8.99757,47.7412285
8.9975701,47.7411601
8.9975743,47.7411409
8.9975235,47.7412948
8.9975681,47.7412584
8.9975336,47.7412364
8.9976974,47.7411902
8.9976761,47.7411835
8.9975593,47.7412762
8.9976077,47.7412476
8.9975775,47.7413977
8.9975532,47.7412515
8.9976089,47.7413243
8.9975177,47.7413858
8.9975534,47.7412722
8.9975453,47.7412596
8.997531,47.7413034
8.9975268,47.7413293
8.9975206,47.7412969
8.9975264,47.7412407
8.9973938,47.7413225
8.9973398,47.741224
8.9974172,47.7413946
8.9974954,47.7415723
8.9975258,47.7413424
8.9975039,47.741273
8.9975566,47.7412963
8.9975674,47.7412626
8.9975529,47.741297
8.9975508,47.7412854
9.0001476,47.7378021
9.0002288,47.7372381
9.0005357,47.7368377
9.0011224,47.736716
9.0014673,47.737342
9.0013945,47.7374617
9.0012319,47.7378439
9.0011773,47.7376452
9.0008855,47.7375494
9.0007555,47.7373821
9.0012674,47.7375497
9.0015005,47.7375191
9.001194,47.7376183
9.0012413,47.7375049
9.0012787,47.7375862
9.001279,47.7375724
8.9990796,47.7371185
9.0002719,47.7368824
8.9996396,47.7363333
8.997606,47.738934
8.9994074,47.7385634
9.0013724,47.7374287
8.9976171,47.7391845
9.0003827,47.7387249
9.001127,47.7378576
9.0013625,47.7374879
9.0010393,47.7377333
9.0010046,47.7371136
9.0012723,47.7364667
9.0024986,47.7360647
9.0041486,47.7354921
9.0062444,47.734524
9.0075488,47.7340831
9.0080379,47.7338355
9.0084867,47.7338527
9.0088633,47.7337663
9.0091812,47.7333669
9.0091444,47.733293
9.0080422,47.733324
8.9976185,47.741479
8.9973527,47.7409903
8.9968814,47.7412456
8.9978963,47.7409933
8.997927,47.7408591
8.9979361,47.7408808
8.9977782,47.7409548
8.998015,47.7409349
8.9974306,47.7411249
8.9975155,47.7413438
8.9975088,47.7412812
8.9974109,47.7409577
8.9976082,47.7416481
8.9975161,47.7414283
8.9975106,47.7414164
8.9974913,47.7414056
8.9971329,47.7414453
8.9972103,47.7416275
8.997261,47.7415914
8.9972103,47.7416657
8.9971942,47.7414282
8.9977488,47.7414028
8.9978108,47.7412263
8.9977837,47.7411926
8.9971041,47.7416905
8.9974915,47.7408779
9.0002229,47.7380058
8.9869521,47.7373125
8.9969805,47.7412577
8.9972514,47.7416258
8.9972335,47.7416406
8.9972875,47.7416848
8.9972637,47.7416671
8.9973336,47.7416197
8.9973173,47.7416564
8.9973018,47.7416303
8.9973274,47.7415987
8.9973295,47.7415713
8.9972394,47.7415829
8.9971866,47.7417533
8.9970885,47.7417277
8.9971066,47.7417617
8.9971372,47.7417056
8.9970885,47.7417025
8.9971223,47.7417242
8.9971691,47.741696
8.9971663,47.7417074
8.9972059,47.7417285
8.9971946,47.7415485
8.9971418,47.741665
8.997095,47.7417815
8.9971975,47.7419347
8.997204,47.741786
8.9972524,47.7417581
8.9969733,47.7418753
8.9970694,47.741896
8.9971882,47.7417142
8.9972072,47.7390649
8.9933707,47.7389164
8.9876465,47.7390553
8.9858152,47.738433
8.9861661,47.7383454
9.0011002,47.7378926
9.0011697,47.7378741
9.001366,47.7379013
9.0012555,47.737728
9.0012342,47.737716
8.9997304,47.7371721
9.0014468,47.7363129
9.0018251,47.7374715
9.0017038,47.7375024
9.0011276,47.7378307
9.0012059,47.7378615
,
9.0015485,47.7375311
9.0015488,47.7374687
9.0014638,47.737569
9.001456,47.7375631
9.0011666,47.7377474
9.0000994,47.7372303
9.0013603,47.7374343
9.0011944,47.7368493
9.0027012,47.7361404
8.9967189,47.739625
9.0011779,47.7378079
9.0011518,47.7377997
9.0001961,47.7367497
9.0016687,47.7363757
9.0026825,47.7363369
9.0029512,47.736374
9.0027365,47.7364159
9.0022809,47.7363322
9.0027905,47.736158
9.0021072,47.7362861
9.0020944,47.7363422
9.0020988,47.7365361
8.9979483,47.7415488
8.9970809,47.741757
8.9988338,47.7343334
9.0085356,47.7023691
9.0131326,47.7054554
9.0131506,47.7057838
9.0138276,47.7062104
9.0145967,47.7068639
9.014848,47.7072489
9.0154037,47.7080244
9.0160453,47.7085114
9.0165695,47.7090102
9.0173908,47.7097932
9.0180427,47.710903
9.0195913,47.7116836
9.0203498,47.7121433
9.0208809,47.7122652
9.0211776,47.7122168
9.008421,47.7280759
9.0072776,47.7281894
9.007213,47.7281537
9.0071846,47.7282189
9.0070276,47.7280919
9.0065116,47.7283892
9.0066402,47.7283201
9.0062869,47.728478
9.0063809,47.7284188
9.0052121,47.7289172
9.0048143,47.7292764
9.0058331,47.7287413
9.0065286,47.7284323
8.9982319,47.7412105
8.9983816,47.7408821
8.9984725,47.740729
8.9983164,47.7408775
8.998265,47.7408825
8.9977349,47.7414176
8.997315,47.7417154
8.9972727,47.7418737
8.9972252,47.7417497
8.9971905,47.742124
8.9971679,47.742087
8.9971277,47.7420462
8.9971454,47.742051
8.9971432,47.7420398
8.9970935,47.7420494
8.9972589,47.7421108
8.9971608,47.7420713
9.0073282,47.728109
9.0071535,47.7280854
9.0067596,47.7283832
9.0074603,47.7280551
9.0077981,47.7283915
9.0076771,47.728102
9.0066956,47.7283121
9.0066859,47.72826
9.0057332,47.7290589
8.9897863,47.7379723
8.9884422,47.7396229
8.9861829,47.737887
8.9863025,47.7376495
9.0008777,47.7376779
9.0012267,47.7377506
9.0018495,47.7376293
9.0021262,47.7375576
8.9999801,47.736627
9.0014807,47.7374928
9.0015032,47.7375936
9.0015054,47.7375686
9.0015374,47.7374951
9.0015461,47.7372562
9.0020158,47.7375596
9.0013041,47.7374189
9.0015032,47.7374073
9.0016153,47.7375261
9.0016785,47.7375404
9.0022657,47.7368959
9.0012691,47.7376818
9.0013337,47.7376973
8.9936749,47.7388738
8.9931613,47.739191
8.9925435,47.7393047
8.9920588,47.7393621
8.9920299,47.7397062
8.9918728,47.7396892
8.9917371,47.7397298
8.9916087,47.7396895
8.9914669,47.7396686
8.9913302,47.7397043
8.9913263,47.7396827
8.9911411,47.7396739
8.9909537,47.7396896
8.9957584,47.7394426
8.9984616,47.738638
8.9982545,47.7386068
8.9980492,47.7384372
8.9978545,47.7382589
8.9984828,47.7409287
8.998488,47.7408391
8.9984266,47.7408231
8.9983147,47.7407818
8.9985267,47.7408188
8.998548,47.7408253
8.9981523,47.7411485
8.9981897,47.7411186
8.9965448,47.7407556
8.9938738,47.7410038
8.9896849,47.7389402
9.0087779,47.7273091
9.0087808,47.7272547
9.0087061,47.7274278
9.0087056,47.7273244
9.0086826,47.7273312
9.0086783,47.7273379
9.0088262,47.7273622
9.0086961,47.7273276
9.008692,47.7272863
9.0088789,47.7271965
9.008964,47.7270683
9.0089555,47.7271119
9.0090481,47.7270733
9.0090075,47.7270462
9.0090819,47.7271754
9.0090087,47.7268898
9.0167961,47.7171792
9.0168139,47.7170219
9.0166741,47.7170134
9.0169197,47.7165633
9.0136521,47.7192453
9.0134014,47.719817
9.0105708,47.7204855
9.0105196,47.7204639
9.0104102,47.7204581
9.0101202,47.7205965
9.0100885,47.7206112
9.0101064,47.7206652
9.0084165,47.7207511
9.0091319,47.7216461
9.009049,47.7215528
9.009248,47.72166
9.0093022,47.721695
9.009314,47.7216995
9.0092854,47.7216495
9.0093118,47.7217185
9.0092398,47.7218763
9.0092993,47.7217244
9.0093254,47.7217815
9.009126,47.7216569
9.0092545,47.721705
9.0093995,47.7217714
9.0095176,47.7217155
9.0094183,47.7218295
9.0085256,47.721423
9.0061226,47.7218112
8.9992234,47.7254874
8.9989939,47.7254721
8.999054,47.7253603
8.9989587,47.7254171
8.9989788,47.7254042
8.9990616,47.7250948
8.9984952,47.7256316
8.9982642,47.7259217
8.9984568,47.7257126
8.9985498,47.7255897
9.0002111,47.7247573
9.0001976,47.7247673
9.0002667,47.7248466
9.0002033,47.7247596
9.0000628,47.7254894
8.9875211,47.7384335
9.0003591,47.7376249
9.0013778,47.7375781
9.0014562,47.7375978
9.0014574,47.7375805
9.0015078,47.7375899
9.0014604,47.7375594
9.0006748,47.7371494
9.0006418,47.7379112
9.0000575,47.7368941
9.0002279,47.7374026
9.0002655,47.7372978
9.0004163,47.7370718
9.0008777,47.7369581
9.0012034,47.7376702
9.0013804,47.7376348
9.000174,47.7373821
8.9969013,47.7369931
8.9975704,47.7368593
8.9868464,47.7382597
8.9863015,47.7376374
8.9861305,47.7375286
8.9863808,47.7374763
8.9861069,47.7375576
8.9862937,47.7367446
8.9874046,47.7358639
8.9873726,47.7358867
8.9873155,47.7359039
8.9869149,47.7361647
8.987117,47.7360721
8.9867847,47.7362279
8.9868239,47.7361942
8.9858912,47.737086
8.985973,47.7371134
9.003827,47.7296492
9.009105,47.7271244
9.0096278,47.7266456
9.0095995,47.7265851
9.0096674,47.7264881
9.0096908,47.7264797
9.0096569,47.7264342
9.0096081,47.7265331
9.0095539,47.7265923
9.0095348,47.7265865
9.0095371,47.7266461
9.0094827,47.7267042
9.0093419,47.7268209
9.009602,47.7264248
9.0096208,47.7264664
9.0106434,47.7262044
9.0096215,47.7264241
9.0097724,47.7264373
9.0100378,47.7263884
9.009684,47.7264064
9.0096908,47.7264495
9.0096463,47.7264445
9.0096988,47.7264708
9.0096985,47.726362
9.0096521,47.726421
9.0096397,47.7264338
9.0096252,47.7264431
9.0096509,47.7264369
9.0096153,47.7264401
9.0098142,47.726444
9.0097138,47.7264326
9.0096058,47.7264222
9.0096545,47.726421
9.0095602,47.7264511
9.0099109,47.7263152
9.0095855,47.7264329
9.0095789,47.7264196
9.0096224,47.7264183
9.0085992,47.7273146
9.008565,47.7272897
9.0085888,47.7273516
9.0086726,47.7273479
9.0088222,47.7272114
9.0088486,47.7271978
9.0086731,47.7274078
8.998179,47.7411083
8.9971181,47.7421008
8.9861266,47.7376797
8.9861858,47.7377647
8.9859699,47.7375792
8.9862549,47.7375382
9.001519,47.7376986
9.0018117,47.7377564
8.9889361,47.7383584
8.9998023,47.7249798
9.0001944,47.7247665
9.0001324,47.724845
9.0001825,47.724814
9.0010576,47.7245918
9.0008257,47.7247581
9.0007932,47.7248278
9.0008109,47.7247125
